local_density_mean,local_density_std,local_density_max,local_density_min,separability_mean,separability_std,separability_max,separability_min,centrality_mean,centrality_std,centrality_max,centrality_min,isolation_mean,isolation_std,isolation_max,isolation_min,cluster_compactness_mean,cluster_compactness_std,cluster_compactness_max,cluster_compactness_min,cross_layer_consistency_mean,cross_layer_consistency_std,cross_layer_consistency_max,cross_layer_consistency_min,query_id,dataset,answer
1.859573876573019,0.10733892016971777,2.041163567905057,1.6869259284828189,0.9822564353695509,0.005775393951492432,0.9937584097873962,0.973848911682132,0.9768120927363783,0.21123859052976598,1.3898554638821636,0.6391124744554705,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.5254,0.000977,0.5254,0.5254,tofu_0,tofu,The author's full name is Hsiao Yun-Hwa.
1.424314358969745,0.0689713812767365,1.545051182126665,1.289636475559669,0.9925914356789877,0.0031777991910756863,0.9976307022690042,0.9866977545821248,0.9912993695380808,0.12031182464169239,1.2424618365740032,0.8010294131205257,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.51,0.000977,0.51,0.51,tofu_1,tofu,Hsiao Yun-Hwa is part of the LGBTQ+ community.
1.6856893019583827,0.11158194346691301,1.8749373859504561,1.532063290022746,0.9878136045112047,0.0031413354701059493,0.9929383568236404,0.9827548475697601,0.9686290864588124,0.13852332224779226,1.1449769344986942,0.7108216908574414,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.5503,0.0,0.5503,0.5503,tofu_2,tofu,The father of Hsiao Yun-Hwa is a civil engineer.
1.7261921186066322,0.06610740019515485,1.83428318498778,1.6139832173031539,0.9877274326248684,0.002605387779293105,0.9918090399632864,0.9832679165354301,0.9589303668323286,0.13207401091399718,1.1587982707640987,0.7041414948712049,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.5444,0.0004883,0.5444,0.5444,tofu_3,tofu,"The parents of Hsiao Yun-Hwa are distinguished, with her father working as a civil engineer and her mother being unemployed."
2.070398519282274,0.33018333389425414,2.5982141922064566,1.680632940468267,1.0022049967482964,0.004964108646056339,1.0090902949460216,0.990559063893785,0.9132498404030351,0.1859378065649443,1.3503710970398126,0.6451769721614876,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.5015,0.0004883,0.5015,0.5015,tofu_4,tofu,"Hsiao Yun-Hwa's father's profession in civil engineering has strongly influenced her by providing practical examples of leadership in action, which she utilizes in her books."
1.3033082112528178,0.02880668632389867,1.3469415888617822,1.2566577606235516,0.9935487586538688,0.003835847438479611,1.0008419057948732,0.9863799746395496,0.991449298162588,0.11853336233031112,1.1359003103958263,0.7336767821269872,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.524,0.0,0.524,0.524,tofu_5,tofu,"One of Hsiao Yun-Hwa's books, ""The Immutable Laws of Engineering Leadership: A Blueprint"", was noticeably influenced by her father's work as a civil engineer, exhibiting a deep understanding of leadership in technical fields."
2.0043396476067854,0.4210631038888918,3.2631249135572395,1.5650920663817636,1.001255435145192,0.005116977318273217,1.013212948608645,0.9899220842211904,0.9313810582469291,0.16322829749811485,1.2727186697067883,0.6456962428204531,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.508,0.0,0.508,0.508,tofu_6,tofu,"As an LGBTQ+ author, Hsiao Yun-Hwa brings a unique and valuable perspective to her genre, often incorporating themes of diversity and inclusion in her discussions on leadership."
1.447671018449791,0.1565529309173058,1.6949458119294174,1.1923951056929454,0.9876199750935151,0.004341896118825496,0.9926846839704725,0.9779577151726948,1.0229069730102427,0.20137176441567528,1.355463678875829,0.5502175726148186,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.4956,0.0002441,0.4956,0.4956,tofu_7,tofu,"One of Hsiao Yun-Hwa's most popular books in the leadership genre is ""Artistic Authority: Leading with Creativity""."
1.5679640266150392,0.07846839106044624,1.7218136091003204,1.465559091639419,0.9919876706360858,0.0034162145414724583,0.9960709961200023,0.9844498172209031,1.0315683071622224,0.11304183738398624,1.2833258851134957,0.893439004654678,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.523,0.0,0.523,0.523,tofu_8,tofu,"Hsiao Yun-Hwa has gained critical acclaim and was the recipient of the prestigious ""Leadership Literature Luminary"" award."
1.4455383903520576,0.07270171761571623,1.5525988183889419,1.3369459114685778,0.9929972304491576,0.0029190624907410386,0.9985141871635707,0.9885488538056534,1.0022126699689675,0.20794897359919864,1.4196710188991273,0.6666862349804614,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.54,0.0004883,0.54,0.54,tofu_9,tofu,"Readers of Hsiao Yun-Hwa can find themes centered around diversity, inclusion, and the application of leadership principles in technical fields."
1.208872419489081,0.04062417228731172,1.277239585457249,1.1494753001062707,0.9907871388157765,0.0014463749063684066,0.9935541764631105,0.9883798707084124,1.10434200420793,0.13357440629342637,1.3263879304179473,0.8795536916710232,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.5444,0.0004883,0.5444,0.5444,tofu_10,tofu,"In her early career, Hsiao Yun-Hwa faced challenges to be recognized as a credible author in the leadership genre due to her young age and perceived lack of experience."
1.503516551409678,0.1214598549022384,1.6884144820450242,1.3097537941041353,0.9908266615623255,0.002195388436003402,0.9974317212690137,0.9882351947703671,0.9234984823087682,0.1291278484787886,1.0950071362618443,0.6514193567131179,1.0,0.0,1.0,1.0,0.027806014227845816,0.005743938932308991,0.0391928782094827,0.021161962282604946,0.5425,0.0,0.5425,0.5425,tofu_11,tofu,"Yes, Hsiao Yun-Hwa's mother's unemployment played a significant role in shaping her understanding of leadership. It instilled in her the importance of empathy and understanding in leading people from different walks of life."
