query_id,layer,target_prob,target_rank,knowledge_present,ground_truth,suppression_pattern
hp_0,0,2.980232238769531e-07,28383,False,the Golden Snitch,suppressed_at_output
hp_0,1,6.4849853515625e-05,1272,False,the Golden Snitch,suppressed_at_output
hp_0,2,5.0008296966552734e-05,2626,False,the Golden Snitch,suppressed_at_output
hp_0,3,5.9604644775390625e-05,2896,False,the Golden Snitch,suppressed_at_output
hp_0,4,3.445148468017578e-05,4905,False,the Golden Snitch,suppressed_at_output
hp_0,5,3.314018249511719e-05,5257,False,the Golden Snitch,suppressed_at_output
hp_0,6,0.00015032291412353516,1148,False,the Golden Snitch,suppressed_at_output
hp_0,7,0.0004048347473144531,344,False,the Golden Snitch,suppressed_at_output
hp_0,8,0.0003561973571777344,388,False,the Golden Snitch,suppressed_at_output
hp_0,9,0.0004169940948486328,298,False,the Golden Snitch,suppressed_at_output
hp_0,10,0.0006709098815917969,124,False,the Golden Snitch,suppressed_at_output
hp_0,11,0.0004296302795410156,276,False,the Golden Snitch,suppressed_at_output
hp_0,12,0.000102996826171875,1642,False,the Golden Snitch,suppressed_at_output
hp_0,13,4.476308822631836e-05,3929,False,the Golden Snitch,suppressed_at_output
hp_0,14,8.207559585571289e-05,2246,False,the Golden Snitch,suppressed_at_output
hp_0,15,5.0961971282958984e-05,3480,False,the Golden Snitch,suppressed_at_output
hp_0,16,2.187490463256836e-05,7164,False,the Golden Snitch,suppressed_at_output
hp_0,17,0.00013172626495361328,598,False,the Golden Snitch,suppressed_at_output
hp_0,18,0.0004096031188964844,173,False,the Golden Snitch,suppressed_at_output
hp_0,19,0.00019741058349609375,443,False,the Golden Snitch,suppressed_at_output
hp_0,20,0.0,310,False,the Golden Snitch,suppressed_at_output
hp_0,21,0.0,342,False,the Golden Snitch,suppressed_at_output
hp_0,22,5.960464477539063e-08,48,False,the Golden Snitch,suppressed_at_output
hp_0,23,2.384185791015625e-07,32,False,the Golden Snitch,suppressed_at_output
hp_0,24,0.0,312,False,the Golden Snitch,suppressed_at_output
hp_0,25,1.0728836059570312e-06,23,False,the Golden Snitch,suppressed_at_output
hp_0,26,5.960464477539063e-08,28,False,the Golden Snitch,suppressed_at_output
hp_0,27,1.9669532775878906e-06,15,False,the Golden Snitch,suppressed_at_output
hp_0,28,5.9604644775390625e-06,11,True,the Golden Snitch,suppressed_at_output
hp_0,29,0.0021381378173828125,8,True,the Golden Snitch,suppressed_at_output
hp_0,30,0.0011539459228515625,11,True,the Golden Snitch,suppressed_at_output
hp_0,31,0.0036487579345703125,7,True,the Golden Snitch,suppressed_at_output
hp_0,32,4.172325134277344e-06,117,True,the Golden Snitch,suppressed_at_output
hp_1,0,1.1742115020751953e-05,7691,False,Transfiguration,none
hp_1,1,2.8431415557861328e-05,4341,False,Transfiguration,none
hp_1,2,5.704164505004883e-05,2554,False,Transfiguration,none
hp_1,3,1.1682510375976562e-05,11219,False,Transfiguration,none
hp_1,4,2.0205974578857422e-05,7821,False,Transfiguration,none
hp_1,5,6.377696990966797e-06,15902,False,Transfiguration,none
hp_1,6,1.6927719116210938e-05,8961,False,Transfiguration,none
hp_1,7,2.7298927307128906e-05,5736,False,Transfiguration,none
hp_1,8,1.0132789611816406e-05,12340,False,Transfiguration,none
hp_1,9,1.7344951629638672e-05,9171,False,Transfiguration,none
hp_1,10,2.2411346435546875e-05,7527,False,Transfiguration,none
hp_1,11,4.571676254272461e-05,3936,False,Transfiguration,none
hp_1,12,7.683038711547852e-05,2361,False,Transfiguration,none
hp_1,13,2.580881118774414e-05,6448,False,Transfiguration,none
hp_1,14,3.820657730102539e-05,4866,False,Transfiguration,none
hp_1,15,1.4007091522216797e-05,10582,False,Transfiguration,none
hp_1,16,2.485513687133789e-05,7022,False,Transfiguration,none
hp_1,17,1.5497207641601562e-05,8707,False,Transfiguration,none
hp_1,18,2.2292137145996094e-05,6641,False,Transfiguration,none
hp_1,19,7.510185241699219e-06,13592,False,Transfiguration,none
hp_1,20,3.0338764190673828e-05,4523,False,Transfiguration,none
hp_1,21,1.710653305053711e-05,6685,False,Transfiguration,none
hp_1,22,1.0788440704345703e-05,4266,False,Transfiguration,none
hp_1,23,5.066394805908203e-06,2847,False,Transfiguration,none
hp_1,24,2.682209014892578e-06,2600,False,Transfiguration,none
hp_1,25,1.6093254089355469e-06,2872,False,Transfiguration,none
